Booking ID | User ID | Event ID | Quantity | Date Booked | Time Booked
B001 | U001 | E001 | 1  | 2026-03-19 | 07:15:00
B002 | U001 | E002 | 2 | 2026-03-19 | 07:15:00
B003 | U003 | E001 | 1 | 2026-03-19 | 07:15:00
B004 | U002 | E001 | 2 | 2026-03-19 | 07:15:00
B005 | U001 | E002 | 50 | 2026-03-19 | 07:15:00
B006 | U002 | E001 | 1 | 2026-03-19 | 07:15:00
B007 | U001 | E002 | 18 | 2026-03-20 | 07:15:00
B008 | U004 | E001 | 10 | 2026-03-20 | 07:15:00
B009 | U004 | E001 | 20 | 2026-03-20 | 07:15:00
B010 | U004 | E001 | 5 | 2026-03-20 | 07:15:00
B011 | U004 | E001 | 5 | 2026-03-20 | 07:15:00
B012 | U004 | E001 | 2 | 2026-03-20 | 07:15:00
B013 | U004 | E003 | 5 | 2026-03-20 | 07:15:00
B014 | U004 | E003 | 1 | 2026-03-20 | 07:15:00
B015 | U004 | E004 | 2 | 2026-03-20 | 07:15:00
