Booking ID | User ID | Event ID | Quantity | Date Booked | Time Booked
B001 | U001 | E001 | 1 | 2026-01-05 | 09:20:00
B002 | U002 | E007 | 2 | 2026-01-12 | 14:15:22
B003 | U003 | E009 | 5 | 2026-01-20 | 18:30:10
B004 | U001 | E011 | 1 | 2026-02-02 | 10:00:00
B005 | U005 | E002 | 10 | 2026-02-14 | 12:45:00
B006 | U002 | E003 | 3 | 2026-02-28 | 16:20:15
B007 | U006 | E007 | 4 | 2026-03-05 | 11:10:00
B008 | U001 | E001 | 1 | 2026-03-19 | 07:15:00
B009 | U001 | E002 | 2 | 2026-03-19 | 07:15:00
B010 | U003 | E001 | 1 | 2026-03-19 | 07:15:00
B011 | U002 | E001 | 2 | 2026-03-19 | 07:15:00
B012 | U001 | E002 | 50 | 2026-03-19 | 07:15:00
B013 | U002 | E001 | 1 | 2026-03-19 | 07:15:00
B014 | U001 | E002 | 18 | 2026-03-20 | 07:15:00
B015 | U004 | E001 | 10 | 2026-03-20 | 07:15:00
B016 | U004 | E001 | 20 | 2026-03-20 | 07:15:00
B017 | U004 | E001 | 5 | 2026-03-20 | 07:15:00
B018 | U004 | E001 | 5 | 2026-03-20 | 07:15:00
B019 | U004 | E001 | 2 | 2026-03-20 | 07:15:00
B020 | U004 | E003 | 5 | 2026-03-21 | 07:15:00
B021 | U004 | E004 | 1 | 2026-03-21 | 13:43:47
B022 | U004 | E011 | 1 | 2026-03-21 | 13:55:31
